CHANNEL	SPEAKER_ID	GENDER	AGE	REGION,CITY	DEVICE
C0	SPK010	Female	25	CHINA,Sichuan	OPPO
C0	SPK007	Female	23	CHINA,Sichuan	OPPO PEGM00 Android 11
C0	SPK001	Male	24	CHINA,Sichuan	HUAWEI DUB-AL00a Android 8
C0	SPK006	Male	25	CHINA,Sichuan	HUAWEI DUB-AL00a Android 8
C0	SPK009	Female	23	CHINA,Sichuan	OPPO PEGM00 Android 11
C0	SPK004	Male	25	CHINA,Beijing	HUAWEI DUB-AL00a Android 8
C0	SPK005	Female	24	CHINA,Sichuan	HUAWEI DUB-AL00a Android 8
C0	SPK003	Female	24	CHINA,Sichuan	OPPO PEGM00 Android 11
C0	SPK002	Female	21	CHINA,Sichuan	HUAWEI
C0	SPK008	Male	23	CHINA,Sichuan	OPPO PEGM00 Android 11
